right_humerus-x;right_humerus-y;right_humerus-z;right_radius-x;right_radius-y;right_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;spine1-x;spine1-y;spine1-z;spine2-x;spine2-y;spine2-z;left_humerus-x;left_humerus-y;left_humerus-z;left_radius-x;left_radius-y;left_radius-z;pelvis-x;pelvis-y;pelvis-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;pelvis-x;pelvis-y;pelvis-z;pelvis_left_femur-x;pelvis_left_femur-y;pelvis_left_femur-z;right_manubrium-x;right_manubrium-y;right_manubrium-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;left_manubrium-x;left_manubrium-y;left_manubrium-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;spine2-x;spine2-y;spine2-z;neck-x;neck-y;neck-z;right_clavicle-x;right_clavicle-y;right_clavicle-z;right_humerus-x;right_humerus-y;right_humerus-z;left_clavicle-x;left_clavicle-y;left_clavicle-z;left_humerus-x;left_humerus-y;left_humerus-z;pelvis_spine1-x;pelvis_spine1-y;pelvis_spine1-z;spine1-x;spine1-y;spine1-z;left_femur_tibia-x;left_femur_tibia-y;left_femur_tibia-z;left_tibia_foot-x;left_tibia_foot-y;left_tibia_foot-z;pelvis_right_femur-x;pelvis_right_femur-y;pelvis_right_femur-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_femur_tibia-x;right_femur_tibia-y;right_femur_tibia-z;right_tibia_foot-x;right_tibia_foot-y;right_tibia_foot-z
-2.582;12.18;0.084;-2.747;9.718;0.594;0.0;10.351;0.0;-1.075;9.998;-0.053;1.081;10.014;-0.051;0.671;5.685;-0.756;0.165;13.331;0.03;0.238;15.453;-0.246;2.676;12.226;-0.336;2.679;9.777;-0.067;0.0;10.351;0.0;-0.004;10.995;-0.319;0.0;10.351;0.0;1.081;10.014;-0.051;-0.391;14.929;0.574;-1.764;14.919;0.265;0.752;14.898;0.631;2.099;15.058;0.254;0.238;15.453;-0.246;0.283;16.277;1.275;-1.764;14.919;0.265;-2.582;12.18;0.084;2.099;15.058;0.254;2.676;12.226;-0.336;-0.004;10.995;-0.319;0.165;13.331;0.03;0.671;5.685;-0.756;0.135;1.211;-2.545;-1.075;9.998;-0.053;-0.798;5.851;1.407;-0.798;5.851;1.407;-0.748;1.533;-0.731
-2.54;12.186;0.182;-2.718;9.724;0.685;0.034;10.35;0.14;-1.042;9.998;0.089;1.114;10.012;0.092;0.711;5.681;-0.608;0.196;13.33;0.154;0.27;15.449;-0.137;2.712;12.216;-0.173;2.712;9.77;0.126;0.034;10.35;0.14;0.03;10.992;-0.184;0.034;10.35;0.14;1.114;10.012;0.092;-0.361;14.932;0.684;-1.733;14.928;0.368;0.781;14.901;0.745;2.13;15.055;0.373;0.27;15.449;-0.137;0.308;16.278;1.381;-1.733;14.928;0.368;-2.54;12.186;0.182;2.13;15.055;0.373;2.712;12.216;-0.173;0.03;10.992;-0.184;0.196;13.33;0.154;0.711;5.681;-0.608;0.183;1.208;-2.402;-1.042;9.998;0.089;-0.782;5.853;1.556;-0.782;5.853;1.556;-0.746;1.559;-0.632
-2.513;12.169;0.386;-2.701;9.695;0.825;0.07;10.33;0.302;-1.006;9.98;0.245;1.15;9.992;0.246;0.733;5.679;-0.547;0.24;13.308;0.379;0.311;15.433;0.131;2.766;12.209;0.038;2.76;9.769;0.376;0.07;10.33;0.302;0.067;10.978;-0.009;0.07;10.33;0.302;1.15;9.992;0.246;-0.315;14.899;0.945;-1.689;14.9;0.637;0.828;14.867;0.999;2.171;15.039;0.615;0.311;15.433;0.131;0.357;16.246;1.658;-1.689;14.9;0.637;-2.513;12.169;0.386;2.171;15.039;0.615;2.766;12.209;0.038;0.067;10.978;-0.009;0.24;13.308;0.379;0.733;5.679;-0.547;0.163;1.233;-2.397;-1.006;9.98;0.245;-0.709;5.882;1.831;-0.709;5.882;1.831;-0.563;1.388;0.097
-2.479;12.139;0.583;-2.69;9.655;0.944;0.107;10.291;0.493;-0.97;9.945;0.433;1.186;9.95;0.43;0.758;5.658;-0.459;0.283;13.266;0.623;0.351;15.394;0.406;2.824;12.173;0.299;2.809;9.743;0.701;0.107;10.291;0.493;0.105;10.943;0.192;0.107;10.291;0.493;1.186;9.95;0.43;-0.272;14.847;1.214;-1.646;14.86;0.907;0.871;14.816;1.263;2.21;15.001;0.871;0.351;15.394;0.406;0.4;16.194;1.94;-1.646;14.86;0.907;-2.479;12.139;0.583;2.21;15.001;0.871;2.824;12.173;0.299;0.105;10.943;0.192;0.283;13.266;0.623;0.758;5.658;-0.459;0.153;1.249;-2.386;-0.97;9.945;0.433;-0.651;5.897;2.14;-0.651;5.897;2.14;-0.408;1.268;0.823
-2.447;12.092;0.817;-2.682;9.599;1.088;0.143;10.235;0.718;-0.936;9.894;0.656;1.221;9.892;0.645;0.778;5.624;-0.354;0.326;13.205;0.905;0.392;15.337;0.724;2.883;12.121;0.593;2.86;9.701;1.053;0.143;10.235;0.718;0.142;10.893;0.428;0.143;10.235;0.718;1.221;9.892;0.645;-0.228;14.776;1.525;-1.602;14.799;1.221;0.916;14.744;1.57;2.25;14.944;1.17;0.392;15.337;0.724;0.447;16.121;2.266;-1.602;14.799;1.221;-2.447;12.092;0.817;2.25;14.944;1.17;2.883;12.121;0.593;0.142;10.893;0.428;0.326;13.205;0.905;0.778;5.624;-0.354;0.14;1.267;-2.384;-0.936;9.894;0.656;-0.588;5.9;2.481;-0.588;5.9;2.481;-0.248;1.175;1.597
-2.413;12.035;1.081;-2.677;9.536;1.251;0.179;10.166;0.98;-0.902;9.831;0.92;1.254;9.818;0.894;0.793;5.582;-0.22;0.368;13.13;1.226;0.433;15.265;1.081;2.943;12.053;0.929;2.91;9.644;1.445;0.179;10.166;0.98;0.179;10.828;0.702;0.179;10.166;0.98;1.254;9.818;0.894;-0.184;14.69;1.874;-1.558;14.724;1.571;0.959;14.658;1.915;2.29;14.87;1.507;0.433;15.265;1.081;0.493;16.033;2.63;-1.558;14.724;1.571;-2.413;12.035;1.081;2.29;14.87;1.507;2.943;12.053;0.929;0.179;10.828;0.702;0.368;13.13;1.226;0.793;5.582;-0.22;0.128;1.294;-2.385;-0.902;9.831;0.92;-0.525;5.894;2.857;-0.525;5.894;2.857;-0.096;1.117;2.385
-2.381;11.971;1.384;-2.673;9.47;1.446;0.212;10.089;1.285;-0.872;9.764;1.229;1.284;9.735;1.184;0.803;5.534;-0.049;0.41;13.047;1.589;0.474;15.184;1.48;3.0;11.974;1.304;2.957;9.575;1.864;0.212;10.089;1.285;0.216;10.756;1.018;0.212;10.089;1.285;1.284;9.735;1.184;-0.141;14.595;2.265;-1.515;14.64;1.963;1.002;14.563;2.303;2.33;14.786;1.89;0.474;15.184;1.48;0.54;15.935;3.037;-1.515;14.64;1.963;-2.381;11.971;1.384;2.33;14.786;1.89;3.0;11.974;1.304;0.216;10.756;1.018;0.41;13.047;1.589;0.803;5.534;-0.049;0.118;1.339;-2.384;-0.872;9.764;1.229;-0.461;5.88;3.265;-0.461;5.88;3.265;0.049;1.089;3.16
-2.347;11.907;1.728;-2.668;9.409;1.68;0.244;10.011;1.638;-0.844;9.697;1.588;1.311;9.648;1.52;0.807;5.484;0.175;0.45;12.961;1.995;0.514;15.1;1.922;3.052;11.891;1.724;3.0;9.499;2.312;0.244;10.011;1.638;0.251;10.682;1.381;0.244;10.011;1.638;1.311;9.648;1.52;-0.101;14.498;2.698;-1.474;14.552;2.395;1.043;14.465;2.734;2.368;14.697;2.319;0.514;15.1;1.922;0.585;15.836;3.487;-1.474;14.552;2.395;-2.347;11.907;1.728;2.368;14.697;2.319;3.052;11.891;1.724;0.251;10.682;1.381;0.45;12.961;1.995;0.807;5.484;0.175;0.116;1.416;-2.371;-0.844;9.697;1.588;-0.397;5.859;3.703;-0.397;5.859;3.703;0.184;1.079;3.894
-2.313;11.848;2.118;-2.658;9.358;1.964;0.275;9.941;2.044;-0.817;9.641;2.005;1.336;9.567;1.909;0.809;5.437;0.471;0.487;12.884;2.446;0.55;15.023;2.405;3.097;11.812;2.19;3.037;9.424;2.79;0.275;9.941;2.044;0.286;10.615;1.795;0.275;9.941;2.044;1.336;9.567;1.909;-0.064;14.41;3.171;-1.438;14.471;2.867;1.079;14.377;3.207;2.404;14.615;2.796;0.55;15.023;2.405;0.626;15.745;3.976;-1.438;14.471;2.867;-2.313;11.848;2.118;2.404;14.615;2.796;3.097;11.812;2.19;0.286;10.615;1.795;0.487;12.884;2.446;0.809;5.437;0.471;0.128;1.538;-2.33;-0.817;9.641;2.005;-0.335;5.833;4.166;-0.335;5.833;4.166;0.304;1.073;4.558
-2.276;11.803;2.554;-2.639;9.323;2.306;0.305;9.889;2.509;-0.791;9.602;2.481;1.359;9.502;2.358;0.814;5.394;0.866;0.52;12.826;2.939;0.582;14.966;2.921;3.13;11.75;2.704;3.07;9.36;3.298;0.305;9.889;2.509;0.322;10.564;2.264;0.305;9.889;2.509;1.359;9.502;2.358;-0.035;14.343;3.679;-1.407;14.407;3.372;1.109;14.311;3.718;2.436;14.551;3.315;0.582;14.966;2.921;0.659;15.676;4.498;-1.407;14.407;3.372;-2.276;11.803;2.554;2.436;14.551;3.315;3.13;11.75;2.704;0.322;10.564;2.264;0.52;12.826;2.939;0.814;5.394;0.866;0.171;1.724;-2.238;-0.791;9.602;2.481;-0.279;5.8;4.645;-0.279;5.8;4.645;0.401;1.053;5.12
